"CONSUMER_ID","SKU_ID","FIRST_PURCHASE_DATE","LAST_PURCHASE_DATE","PURCHASE_COUNT","IS_REPEAT"
"CONS000000","SKU002","2025-12-13","2025-12-13",1,false
"CONS000001","SKU002","2025-12-03","2025-12-03",1,false
"CONS000002","SKU002","2025-12-18","2026-01-04",2,true
"CONS000003","SKU001","2025-12-04","2025-12-04",1,false
"CONS000004","SKU002","2025-12-16","2025-12-16",1,false
"CONS000005","SKU002","2025-12-10","2025-12-10",1,false
"CONS000006","SKU001","2025-12-15","2025-12-15",1,false
"CONS000007","SKU002","2025-12-11","2025-12-11",1,false
"CONS000008","SKU001","2025-12-09","2025-12-23",3,true
"CONS000009","SKU001","2025-12-05","2025-12-15",2,true
"CONS000010","SKU002","2025-12-01","2025-12-01",1,false
"CONS000011","SKU001","2025-12-16","2025-12-16",1,false
"CONS000012","SKU002","2025-12-06","2025-12-25",2,true
"CONS000013","SKU001","2025-12-06","2025-12-06",1,false
"CONS000014","SKU002","2025-12-17","2025-12-17",1,false
"CONS000015","SKU002","2025-12-18","2025-12-18",1,false
"CONS000016","SKU002","2025-12-12","2025-12-12",1,false
"CONS000017","SKU002","2025-12-11","2025-12-11",1,false
"CONS000018","SKU001","2025-12-17","2025-12-17",1,false
"CONS000019","SKU001","2025-12-11","2025-12-11",1,false
"CONS000020","SKU002","2025-12-11","2025-12-11",1,false
"CONS000021","SKU001","2025-12-09","2025-12-09",1,false
"CONS000022","SKU002","2025-12-01","2025-12-01",1,false
"CONS000023","SKU002","2025-12-04","2025-12-04",1,false
"CONS000024","SKU001","2025-12-20","2025-12-27",2,true
"CONS000025","SKU002","2025-12-06","2025-12-06",1,false
"CONS000026","SKU001","2025-12-21","2025-12-21",1,false
"CONS000027","SKU002","2025-12-05","2025-12-12",2,true
"CONS000028","SKU001","2025-12-19","2025-12-19",1,false
"CONS000029","SKU001","2025-12-19","2026-01-05",3,true
"CONS000030","SKU002","2025-12-15","2025-12-15",1,false
"CONS000031","SKU002","2025-12-13","2025-12-13",1,false
"CONS000032","SKU002","2025-12-04","2025-12-04",1,false
"CONS000033","SKU001","2025-12-18","2025-12-28",2,true
"CONS000034","SKU001","2025-12-10","2025-12-10",1,false
"CONS000035","SKU002","2025-12-17","2025-12-17",1,false
"CONS000036","SKU001","2025-12-04","2025-12-04",1,false
"CONS000037","SKU002","2025-12-09","2025-12-09",1,false
"CONS000038","SKU001","2025-12-11","2025-12-11",1,false
"CONS000039","SKU001","2025-12-01","2025-12-01",1,false
"CONS000040","SKU002","2025-12-14","2025-12-14",1,false
"CONS000041","SKU001","2025-12-04","2025-12-04",1,false
"CONS000042","SKU002","2025-12-18","2025-12-18",1,false
"CONS000043","SKU002","2025-12-16","2026-01-02",2,true
"CONS000044","SKU001","2025-12-12","2025-12-25",4,true
"CONS000045","SKU001","2025-12-21","2025-12-21",1,false
"CONS000046","SKU002","2025-12-18","2025-12-18",1,false
"CONS000047","SKU001","2025-12-09","2025-12-09",1,false
"CONS000048","SKU002","2025-12-01","2025-12-01",1,false
"CONS000049","SKU002","2025-12-21","2025-12-21",1,false
"CONS000050","SKU001","2025-12-01","2025-12-01",1,false
"CONS000051","SKU002","2025-12-09","2025-12-22",2,true
"CONS000052","SKU002","2025-12-02","2025-12-02",1,false
"CONS000053","SKU001","2025-12-09","2025-12-17",2,true
"CONS000054","SKU002","2025-12-18","2025-12-18",1,false
"CONS000055","SKU001","2025-12-13","2025-12-13",1,false
"CONS000056","SKU002","2025-12-18","2026-01-03",2,true
"CONS000057","SKU001","2025-12-12","2025-12-12",1,false
"CONS000058","SKU002","2025-12-05","2025-12-05",1,false
"CONS000059","SKU002","2025-12-21","2025-12-21",1,false
"CONS000060","SKU001","2025-12-12","2025-12-22",4,true
"CONS000061","SKU002","2025-12-11","2025-12-19",2,true
