"STORE_ID","RETAILER","REGION","STATE","CITY","LATITUDE","LONGITUDE","LOCATION"
"STORE00001","CVS","Midwest","IN","Indianapolis",39.588,-86.908,"{""coordinates"":[-8.690800000000000e+01,3.958800000000000e+01],""type"":""Point""}"
"STORE00002","CVS","Midwest","IN","Indianapolis",38.878,-86.588,"{""coordinates"":[-8.658799999999999e+01,3.887800000000000e+01],""type"":""Point""}"
"STORE00003","CVS","Midwest","IN","Indianapolis",40.678,-85.298,"{""coordinates"":[-8.529800000000000e+01,4.067800000000000e+01],""type"":""Point""}"
"STORE00004","CVS","Midwest","IN","Indianapolis",40.038,-85.178,"{""coordinates"":[-8.517800000000000e+01,4.003800000000000e+01],""type"":""Point""}"
"STORE00005","CVS","Midwest","IN","Indianapolis",38.878,-85.698,"{""coordinates"":[-8.569799999999999e+01,3.887800000000000e+01],""type"":""Point""}"
"STORE00006","CVS","Midwest","IN","Indianapolis",39.698,-85.388,"{""coordinates"":[-8.538800000000001e+01,3.969800000000000e+01],""type"":""Point""}"
"STORE00007","CVS","Midwest","IN","Indianapolis",39.708,-86.628,"{""coordinates"":[-8.662800000000000e+01,3.970800000000000e+01],""type"":""Point""}"
"STORE00008","CVS","Midwest","IN","Indianapolis",40.498,-85.928,"{""coordinates"":[-8.592800000000000e+01,4.049800000000000e+01],""type"":""Point""}"
"STORE00009","CVS","Midwest","IN","Indianapolis",38.768,-87.048,"{""coordinates"":[-8.704800000000000e+01,3.876800000000000e+01],""type"":""Point""}"
"STORE00010","CVS","Midwest","IN","Indianapolis",39.298,-85.428,"{""coordinates"":[-8.542800000000000e+01,3.929800000000000e+01],""type"":""Point""}"
"STORE00011","CVS","Midwest","IN","Indianapolis",39.798,-86.168,"{""coordinates"":[-8.616800000000001e+01,3.979800000000000e+01],""type"":""Point""}"
"STORE00012","CVS","Midwest","IN","Indianapolis",39.178,-85.808,"{""coordinates"":[-8.580800000000001e+01,3.917800000000000e+01],""type"":""Point""}"
"STORE00013","CVS","Midwest","IN","Indianapolis",39.478,-85.388,"{""coordinates"":[-8.538800000000001e+01,3.947800000000000e+01],""type"":""Point""}"
"STORE00014","CVS","Midwest","IN","Indianapolis",40.068,-87.008,"{""coordinates"":[-8.700800000000000e+01,4.006800000000000e+01],""type"":""Point""}"
"STORE00015","CVS","Midwest","IN","Indianapolis",40.698,-86.028,"{""coordinates"":[-8.602800000000001e+01,4.069800000000000e+01],""type"":""Point""}"
"STORE00016","CVS","Midwest","IN","Indianapolis",39.038,-85.958,"{""coordinates"":[-8.595800000000000e+01,3.903800000000000e+01],""type"":""Point""}"
"STORE00017","CVS","Midwest","IN","Indianapolis",39.788,-86.118,"{""coordinates"":[-8.611799999999999e+01,3.978800000000000e+01],""type"":""Point""}"
"STORE00018","CVS","Midwest","IN","Indianapolis",38.968,-85.918,"{""coordinates"":[-8.591800000000001e+01,3.896800000000000e+01],""type"":""Point""}"
"STORE00019","CVS","Midwest","IN","Indianapolis",40.688,-86.638,"{""coordinates"":[-8.663800000000001e+01,4.068800000000000e+01],""type"":""Point""}"
"STORE00020","CVS","Midwest","IN","Indianapolis",39.928,-86.728,"{""coordinates"":[-8.672799999999999e+01,3.992800000000000e+01],""type"":""Point""}"
"STORE00021","Kroger","Midwest","OH","Columbus",39.761,-82.539,"{""coordinates"":[-8.253900000000000e+01,3.976100000000000e+01],""type"":""Point""}"
"STORE00022","Kroger","Midwest","OH","Columbus",39.251,-83.109,"{""coordinates"":[-8.310899999999999e+01,3.925100000000000e+01],""type"":""Point""}"
"STORE00023","Kroger","Midwest","OH","Columbus",40.441,-83.229,"{""coordinates"":[-8.322900000000000e+01,4.044100000000000e+01],""type"":""Point""}"
"STORE00024","Kroger","Midwest","OH","Columbus",40.221,-83.529,"{""coordinates"":[-8.352900000000000e+01,4.022100000000000e+01],""type"":""Point""}"
"STORE00025","Kroger","Midwest","OH","Columbus",39.091,-83.449,"{""coordinates"":[-8.344900000000000e+01,3.909100000000000e+01],""type"":""Point""}"
"STORE00026","Kroger","Midwest","OH","Columbus",40.451,-82.539,"{""coordinates"":[-8.253900000000000e+01,4.045100000000000e+01],""type"":""Point""}"
"STORE00027","Kroger","Midwest","OH","Columbus",40.641,-83.139,"{""coordinates"":[-8.313900000000000e+01,4.064100000000000e+01],""type"":""Point""}"
"STORE00028","Kroger","Midwest","OH","Columbus",40.091,-82.949,"{""coordinates"":[-8.294900000000000e+01,4.009100000000000e+01],""type"":""Point""}"
"STORE00029","Kroger","Midwest","OH","Columbus",39.721,-82.459,"{""coordinates"":[-8.245900000000000e+01,3.972100000000000e+01],""type"":""Point""}"
"STORE00030","Kroger","Midwest","OH","Columbus",40.591,-82.929,"{""coordinates"":[-8.292900000000000e+01,4.059100000000000e+01],""type"":""Point""}"
"STORE00031","Kroger","Midwest","OH","Columbus",40.521,-82.369,"{""coordinates"":[-8.236900000000000e+01,4.052100000000000e+01],""type"":""Point""}"
"STORE00032","Kroger","Midwest","OH","Columbus",40.041,-82.379,"{""coordinates"":[-8.237900000000000e+01,4.004100000000000e+01],""type"":""Point""}"
"STORE00033","Kroger","Midwest","OH","Columbus",40.791,-83.729,"{""coordinates"":[-8.372900000000000e+01,4.079100000000000e+01],""type"":""Point""}"
"STORE00034","Kroger","Midwest","OH","Columbus",39.671,-83.569,"{""coordinates"":[-8.356900000000000e+01,3.967100000000000e+01],""type"":""Point""}"
"STORE00035","Kroger","Midwest","OH","Columbus",39.141,-83.579,"{""coordinates"":[-8.357899999999999e+01,3.914100000000000e+01],""type"":""Point""}"
"STORE00036","Kroger","Midwest","OH","Columbus",39.251,-82.449,"{""coordinates"":[-8.244900000000000e+01,3.925100000000000e+01],""type"":""Point""}"
"STORE00037","Kroger","Midwest","OH","Columbus",40.751,-82.139,"{""coordinates"":[-8.213900000000000e+01,4.075100000000000e+01],""type"":""Point""}"
"STORE00038","Kroger","Midwest","OH","Columbus",39.321,-82.279,"{""coordinates"":[-8.227900000000000e+01,3.932100000000000e+01],""type"":""Point""}"
"STORE00039","Kroger","Midwest","OH","Columbus",39.691,-82.919,"{""coordinates"":[-8.291900000000000e+01,3.969100000000000e+01],""type"":""Point""}"
"STORE00040","Kroger","Midwest","OH","Columbus",39.611,-82.269,"{""coordinates"":[-8.226900000000001e+01,3.961100000000000e+01],""type"":""Point""}"
"STORE00041","Kroger","Midwest","OH","Columbus",40.111,-82.819,"{""coordinates"":[-8.281900000000000e+01,4.011100000000000e+01],""type"":""Point""}"
"STORE00042","Kroger","Midwest","OH","Columbus",40.361,-83.729,"{""coordinates"":[-8.372900000000000e+01,4.036100000000000e+01],""type"":""Point""}"
"STORE00043","Kroger","Midwest","OH","Columbus",40.541,-83.499,"{""coordinates"":[-8.349900000000000e+01,4.054100000000000e+01],""type"":""Point""}"
"STORE00044","Kroger","Midwest","OH","Columbus",40.721,-83.169,"{""coordinates"":[-8.316900000000000e+01,4.072100000000000e+01],""type"":""Point""}"
"STORE00045","Kroger","Midwest","OH","Columbus",40.611,-83.689,"{""coordinates"":[-8.368899999999999e+01,4.061100000000000e+01],""type"":""Point""}"
"STORE00046","Kroger","Midwest","OH","Columbus",39.341,-83.889,"{""coordinates"":[-8.388900000000000e+01,3.934100000000000e+01],""type"":""Point""}"
"STORE00047","Kroger","Midwest","OH","Columbus",39.681,-82.769,"{""coordinates"":[-8.276900000000001e+01,3.968100000000000e+01],""type"":""Point""}"
"STORE00048","Kroger","Midwest","OH","Columbus",40.351,-83.729,"{""coordinates"":[-8.372900000000000e+01,4.035100000000000e+01],""type"":""Point""}"
"STORE00049","Kroger","Midwest","OH","Columbus",40.631,-83.299,"{""coordinates"":[-8.329900000000001e+01,4.063100000000000e+01],""type"":""Point""}"
